no,date,num
955,2022-09-12,1814
956,2022-09-13,3465
957,2022-09-14,5360
958,2022-09-15,3699
959,2022-09-16,2955
960,2022-09-17,2475
961,2022-09-18,2020
962,2022-09-19,942
963,2022-09-20,2612
964,2022-09-21,2132
965,2022-09-22,1826
966,2022-09-23,1436
967,2022-09-24,1592
968,2022-09-25,1255
969,2022-09-26,842
970,2022-09-27,2056
971,2022-09-28,1664
972,2022-09-29,1452
973,2022-09-30,1598
974,2022-10-01,1251
975,2022-10-02,1017
976,2022-10-03,772
977,2022-10-04,887
978,2022-10-05,1596
979,2022-10-06,1608
980,2022-10-07,1470
981,2022-10-08,1018
982,2022-10-09,964
983,2022-10-10,473
984,2022-10-11,567
985,2022-10-12,1632
986,2022-10-13,1250
987,2022-10-14,969
988,2022-10-15,1109
989,2022-10-16,1052
990,2022-10-17,464
991,2022-10-18,1461
992,2022-10-19,1360
993,2022-10-20,1117
994,2022-10-21,1245
995,2022-10-22,1000
996,2022-10-23,1204
997,2022-10-24,555
998,2022-10-25,1829
999,2022-10-26,1956
1000,2022-10-27,1556
1001,2022-10-28,1604
1002,2022-10-29,1680
1003,2022-10-30,1703
1004,2022-10-31,730
1005,2022-11-01,2458
1006,2022-11-02,2420
1007,2022-11-03,1767
1008,2022-11-04,1953
1009,2022-11-05,1797
1010,2022-11-06,1706
1011,2022-11-07,646
1012,2022-11-08,2717
1013,2022-11-09,2704
1014,2022-11-10,2508
1015,2022-11-11,2373
1016,2022-11-12,2428
1017,2022-11-13,2329
1018,2022-11-14,1046
1019,2022-11-15,3252
1020,2022-11-16,2936
1021,2022-11-17,2395
1022,2022-11-18,2182
1023,2022-11-19,2258
1024,2022-11-20,1770
1025,2022-11-21,1311
1026,2022-11-22,3523
1027,2022-11-23,2990
1028,2022-11-24,2720
1029,2022-11-25,2302
1030,2022-11-26,2494
1031,2022-11-27,2367
1032,2022-11-28,724
1033,2022-11-29,3499
1034,2022-11-30,3025
1035,2022-12-01,2562
1036,2022-12-02,2405
1037,2022-12-03,2372
1038,2022-12-04,2327
1039,2022-12-05,692
1040,2022-12-06,3759
1041,2022-12-07,3312
1042,2022-12-08,3078
1043,2022-12-09,2782
1044,2022-12-10,2795
1045,2022-12-11,2281
1046,2022-12-12,778
1047,2022-12-13,3949
1048,2022-12-14,3700
1049,2022-12-15,3087
1050,2022-12-16,2869
1051,2022-12-17,3078
1052,2022-12-18,2722
1053,2022-12-19,973
1054,2022-12-20,3624
1055,2022-12-21,3616
1056,2022-12-22,3196
1057,2022-12-23,2657
1058,2022-12-24,2832
1059,2022-12-25,2485
1060,2022-12-26,844
1061,2022-12-27,3464
1062,2022-12-28,3521
1063,2022-12-29,2648
1064,2022-12-30,2703
1065,2022-12-31,2614
1066,2023-01-01,2477
1067,2023-01-02,593
1068,2023-01-03,3062
1069,2023-01-04,3150
1070,2023-01-05,2713
1071,2023-01-06,2147
1072,2023-01-07,2009
1073,2023-01-08,2013
1074,2023-01-09,563
1075,2023-01-10,2398
1076,2023-01-11,2376
1077,2023-01-12,1893
1078,2023-01-13,1722
1079,2023-01-14,1539
1080,2023-01-15,1521
1081,2023-01-16,592
1082,2023-01-17,1675
1083,2023-01-18,1740
1084,2023-01-19,1355
1085,2023-01-20,1267
1086,2023-01-21,1306
1087,2023-01-22,1028
1088,2023-01-23,342
1089,2023-01-24,520
1090,2023-01-25,1089
1091,2023-01-26,1415
1092,2023-01-27,1599
1093,2023-01-28,1181
1094,2023-01-29,1132
1095,2023-01-30,322
1096,2023-01-31,927
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
